code,name,category_path,unit,first_date,last_date,n_observations,n_quoted
869,- bianco,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VINO DA TAVOLA (quotazione base per 1 grado/100 litri),EUR/grado-hL,2021-09-20,2022-10-31,72,70
870,- d.o.c. ripasso,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2019 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-01-24,2023-03-15,76,76
871,- d.o.c. classico ripasso,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2019 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-01-24,2023-03-15,76,76
872,- d.o.c. ripasso 2021,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > VALPOLICELLA  RIPASSO,EUR/L,2022-01-24,2024-10-30,177,167
873,- d.o.c. classico ripasso 2021,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > VALPOLICELLA  RIPASSO,EUR/L,2022-01-24,2024-10-30,177,167
874,- Amarone e recioto produzione 2019 - d.o.c.g,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > AMARONE E RECIOTO (prezzo E/litro) > VALPOLICELLA,EUR/L,2022-01-31,2023-03-30,77,77
875,- Amarone e recioto produzione 2019 - d.o.c.g   classico,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > AMARONE E RECIOTO (prezzo E/litro) > VALPOLICELLA,EUR/L,2022-01-31,2023-03-30,77,77
876,- Atto a Amarone e recioto produzione 2020 d.o.c.g.,Uve/Vino > VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > AMARONE E RECIOTO (prezzo E/litro) > VALPOLICELLA,EUR/L,2022-01-31,2023-11-15,111,98
877,- Atto a Amarone e recioto produzione 2020 d.o.c.g. classico,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > AMARONE E RECIOTO (prezzo E/litro) > VALPOLICELLA,EUR/L,2022-01-31,2023-11-27,112,92
878,- d.o.c. atto a superiore,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-02-07,2023-01-09,58,52
879,- d.o.c. atto a superiore classico,VINI DELLA PROVINCIA DI VERONA  * Prezzi per prodotto integro * > PRODUZIONE 2021 > VALPOLICELLA (prezzo E/litro),EUR/L,2022-02-07,2023-01-09,57,48
880,- Atto a Amarone d.o.c.g. classico,Uve/Vino > PRODUZIONE BIOLOGICA 2021  (prezzo E/litro),EUR/L,2022-02-28,2025-05-15,204,184
881,- Valpolicella  superiore atto a ripasso classico,Uve/Vino > PRODUZIONE BIOLOGICA 2021  (prezzo E/litro),EUR/L,2022-02-28,2025-05-15,206,191
